Objectid,Year,Metro,Cbsa,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
94,2000,Houston,"Houston-Sugar Land-Baytown, TX",2283179,2386532,103353,0.043306773,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
95,2000,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2397463,2501056,103593,0.041419704,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
96,2000,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8804339,9208472,404133,0.043887086,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
97,2000,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2738027,2849724,111697,0.039195726,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
98,2000,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2621420,2694458,73038,0.02710675,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
99,2001,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2326458,2416414,89956,0.037227065,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
100,2001,Bay Area,Bay Area,3573614,3744589,170975,0.045659217,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
101,2001,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4506365,4770805,264440,0.055428801,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
102,2001,Dallas,"Dallas-Fort Worth-Arlington, TX",2784500,2920610,136110,0.046603278,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
103,2001,Houston,"Houston-Sugar Land-Baytown, TX",2318393,2430863,112470,0.046267519,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
104,2001,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2421319,2538007,116688,0.045976233,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
105,2001,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8766259,9211719,445460,0.048357967,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
106,2001,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2751249,2876057,124808,0.043395524,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
107,2001,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2645446,2740394,94948,0.034647573,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
108,2002,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2325308,2456356,131048,0.053350573,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
109,2002,Bay Area,Bay Area,3414934,3658968,244034,0.066694762,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
110,2002,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4358186,4680794,322608,0.06892164,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
111,2002,Dallas,"Dallas-Fort Worth-Arlington, TX",2756641,2946964,190323,0.064582737,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
112,2002,Houston,"Houston-Sugar Land-Baytown, TX",2345752,2495931,150179,0.060169532,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
113,2002,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2401155,2525737,124582,0.049325009,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
114,2002,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8761215,9357922,596707,0.063764904,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
